"yr","holiday","weathersit","temp","hum","windspeed","casual","registered","cnt","date"
"0","0","2",0.344167,0.805833,0.160446,331,654,985,1
"0","0","2",0.363478,0.696087,0.248539,131,670,801,2
"0","0","1",0.196364,0.437273,0.248309,120,1229,1349,3
"0","0","1",0.204348,0.518261,0.0895652,88,1518,1606,6
"0","0","2",0.196522,0.498696,0.168726,148,1362,1510,7
"0","0","1",0.138333,0.434167,0.36195,54,768,822,9
"0","0","1",0.150833,0.482917,0.223267,41,1280,1321,10
"0","0","1",0.172727,0.599545,0.304627,25,1137,1162,12
"0","0","1",0.165,0.470417,0.301,38,1368,1406,13
"0","0","1",0.16087,0.537826,0.126548,54,1367,1421,14
"0","0","2",0.233333,0.49875,0.157963,222,1026,1248,15
"0","1","2",0.175833,0.5375,0.194017,117,883,1000,17
"0","0","2",0.216667,0.861667,0.146775,9,674,683,18
"0","0","2",0.292174,0.741739,0.208317,78,1572,1650,19
"0","0","1",0.0591304,0.4,0.17197,93,888,981,22
"0","0","1",0.0965217,0.436522,0.2466,150,836,986,23
"0","0","2",0.223478,0.616957,0.129796,186,1799,1985,25
"0","0","3",0.2175,0.8625,0.29385,34,472,506,26
"0","0","1",0.195,0.6875,0.113837,15,416,431,27
"0","0","2",0.203478,0.793043,0.1233,38,1129,1167,28
"0","0","1",0.196522,0.651739,0.145365,123,975,1098,29
"0","0","1",0.216522,0.722174,0.0739826,140,956,1096,30
"0","0","2",0.26,0.775417,0.264308,72,1454,1526,2
"0","0","1",0.186957,0.437826,0.277752,61,1489,1550,3
"0","0","2",0.211304,0.585217,0.127839,88,1620,1708,4
"0","0","2",0.233333,0.929167,0.161079,100,905,1005,5
"0","0","1",0.285833,0.568333,0.1418,354,1269,1623,6
"0","0","1",0.271667,0.738333,0.0454083,120,1592,1712,7
"0","0","1",0.220833,0.537917,0.36195,64,1466,1530,8
"0","0","2",0.134783,0.494783,0.188839,53,1552,1605,9
"0","0","1",0.144348,0.437391,0.221935,47,1491,1538,10
"0","0","1",0.189091,0.506364,0.10855,149,1597,1746,11
"0","0","1",0.2225,0.544167,0.203367,288,1184,1472,12
"0","0","1",0.316522,0.457391,0.260883,397,1192,1589,13
"0","0","1",0.415,0.375833,0.1863918045961,208,1705,1913,14
"0","0","1",0.266087,0.314348,0.291374,140,1675,1815,15
"0","0","1",0.318261,0.423478,0.251791,218,1897,2115,16
"0","0","1",0.435833,0.505,0.230104,259,2216,2475,17
"0","0","1",0.521667,0.516667,0.264925,579,2348,2927,18
"0","0","1",0.285217,0.407826,0.223235,639,1173,1812,20
"0","1","2",0.303333,0.605,0.307846,195,912,1107,21
"0","0","1",0.182222,0.577778,0.195683,74,1376,1450,22
"0","0","1",0.221739,0.423043,0.094113,139,1778,1917,23
"0","0","2",0.295652,0.697391,0.250496,100,1707,1807,24
"0","0","2",0.364348,0.712174,0.346539,120,1341,1461,25
"0","0","1",0.2825,0.537917,0.186571,424,1545,1969,26
"0","0","1",0.343478,0.68,0.125248,694,1708,2402,27
"0","0","1",0.266667,0.535,0.216425,137,1714,1851,1
"0","0","1",0.335,0.449583,0.307833,231,1903,2134,2
"0","0","1",0.198333,0.318333,0.225754,123,1562,1685,3
"0","0","2",0.261667,0.610417,0.203346,214,1730,1944,4
"0","0","2",0.384167,0.789167,0.251871,640,1437,2077,5
"0","0","1",0.261739,0.551304,0.341352,244,1628,1872,7
"0","0","3",0.389091,0.629358906721536,0.261877,46,577,623,10
"0","0","2",0.316522,0.649565,0.23297,247,1730,1977,11
"0","0","1",0.329167,0.594583,0.220775,724,1408,2132,12
"0","0","1",0.384348,0.527391,0.270604,982,1435,2417,13
"0","0","1",0.325217,0.496957,0.136926,359,1687,2046,14
"0","0","2",0.317391,0.655652,0.184309,289,1767,2056,15
"0","0","2",0.365217,0.776522,0.203117,321,1871,2192,16
"0","0","1",0.415,0.602917,0.209579,424,2320,2744,17
"0","0","1",0.54,0.525217,0.231017,884,2355,3239,18
"0","0","1",0.4725,0.379167,0.368167,1424,1693,3117,19
"0","0","1",0.3325,0.47375,0.207721,1047,1424,2471,20
"0","0","2",0.430435,0.737391,0.288783,401,1676,2077,21
"0","0","1",0.441667,0.624583,0.22575,460,2243,2703,22
"0","0","2",0.346957,0.839565,0.234261,203,1918,2121,23
"0","0","2",0.285,0.805833,0.243787,166,1699,1865,24
"0","0","1",0.264167,0.495,0.230725,300,1910,2210,25
"0","0","1",0.265833,0.394167,0.209571,981,1515,2496,26
"0","0","2",0.253043,0.493913,0.1843,472,1221,1693,27
"0","0","3",0.268333,0.918333,0.217646,179,1506,1685,31
"0","0","2",0.3,0.68625,0.258708,307,1920,2227,1
"0","0","2",0.315,0.65375,0.197146,898,1354,2252,2
"0","0","1",0.378333,0.48,0.182213,1651,1598,3249,3
"0","0","1",0.573333,0.42625,0.1863918045961,734,2381,3115,4
"0","0","2",0.414167,0.642083,0.1863918045961,167,1628,1795,5
"0","0","1",0.390833,0.470833,0.263063,413,2395,2808,6
"0","0","1",0.4375,0.602917,0.162312,571,2570,3141,7
"0","0","2",0.335833,0.83625,0.226992,172,1299,1471,8
"0","0","2",0.3425,0.8775,0.133083,879,1576,2455,9
"0","0","2",0.426667,0.8575,0.146767,1188,1707,2895,10
"0","0","2",0.595652,0.716956,0.324474,855,2493,3348,11
"0","0","2",0.5025,0.739167,0.274879,257,1777,2034,12
"0","0","2",0.4125,0.819167,0.250617,209,1953,2162,13
"0","1","1",0.446667,0.67125,0.226375,642,2484,3126,15
"0","0","1",0.5125,0.5425,0.163567,669,2760,3429,18
"0","0","2",0.505833,0.665833,0.157971,409,2795,3204,19
"0","0","1",0.595,0.614167,0.241925,613,3331,3944,20
"0","0","2",0.336667,0.729583,0.219521,177,1506,1683,22
"0","0","2",0.46,0.887917,0.230725,1462,2574,4036,23
"0","0","1",0.606667,0.776667,0.185333,773,3300,4073,25
"0","0","1",0.631667,0.729167,0.3265,678,3722,4400,26
"0","0","2",0.62,0.835417,0.3122,547,3325,3872,27
"0","0","1",0.51,0.457083,0.240063,878,3717,4595,29
"0","0","1",0.4725,0.503333,0.235075,684.472886253028,3347,5312,30
"0","0","2",0.451667,0.762083,0.106354,1138,2213,3351,1
"0","0","2",0.549167,0.73,0.183454,847,3554,4401,2
"0","0","2",0.616667,0.697083,0.342667,603,3848,4451,3
"0","0","2",0.414167,0.737083,0.328996,255,2378,2633,4
"0","0","1",0.459167,0.444167,0.295392,614,3819,4433,5
"0","0","1",0.52,0.54125,0.16045,1612,3102,4714,7
"0","0","1",0.528333,0.631667,0.0746375,1401,2932,4333,8
"0","0","1",0.5325,0.58875,0.176,664,3698,4362,9
"0","0","1",0.5325,0.489167,0.115671,694,4109,4803,10
"0","0","1",0.5425,0.632917,0.120642,550,3632,4182,11
"0","0","2",0.5125,0.863333,0.179725,692,3413,4105,13
"0","0","2",0.520833,0.9225,0.13495,902,2507,3409,14
